,title,year,month,genre,duration,country,language,avg_vote,votes,budget,gross,net_income,metascore
506,Metropolis,1927,10,"Drama, Sci-Fi",153,Germany,German,8.3,156076,6000000.0,1349711,-4650289.0,98.0
628,Il circo,1928,10,"Comedy, Romance",72,USA,English,8.1,27414,900000.0,26916,-873084.0,90.0
1048,Luci della città,1931,4,"Comedy, Drama, Romance",87,USA,English,8.5,162668,1500000.0,46008,-1453992.0,99.0
1086,Frankenstein,1931,12,"Drama, Horror, Romance",70,USA,"English, Latin",7.8,63315,291000.0,1626,-289374.0,91.0
1301,Freaks,1932,2,"Drama, Horror",64,USA,"English, German, French",7.9,41173,310607.0,4072,-306535.0,80.0
1556,42a strada,1933,9,"Comedy, Musical, Romance",89,USA,English,7.4,10490,439000.0,1600,-437400.0,83.0
1598,King Kong,1933,12,"Adventure, Horror, Sci-Fi",100,USA,English,7.9,77507,670000.0,651,-669349.0,90.0
1815,Cerco il mio amore,1934,10,"Comedy, Musical, Romance",107,USA,"English, French, Italian",7.5,6797,520000.0,6750,-513250.0,80.0
2017,Il club dei 39,1935,4,"Mystery, Thriller",86,UK,English,7.6,50519,50000.0,51711,1711.0,93.0
2048,La moglie di Frankenstein,1935,6,"Drama, Horror, Sci-Fi",75,USA,English,7.8,42196,397024.0,10493,-386531.0,95.0
2237,Roberta,1935,3,"Comedy, Musical, Romance",106,USA,"English, French, Russian",7.1,2860,610000.0,2493,-607507.0,66.0
2454,Tempi moderni,1936,3,"Comedy, Drama, Family",87,USA,English,8.5,211250,1500000.0,457688,-1042312.0,96.0
2542,Follie d'inverno,1936,2,"Comedy, Musical, Romance",103,USA,"English, French",7.6,11998,886000.0,4961,-881039.0,91.0
2795,Il bandito della Casbah,1937,10,"Crime, Drama, Romance",94,France,"French, Arabic",7.7,6180,60000.0,155895,95895.0,98.0
2827,Biancaneve e i sette nani,1937,11,"Animation, Family, Fantasy",83,USA,English,7.6,177157,1499000.0,184925486,183426486.0,95.0
2925,Susanna!,1938,8,"Comedy, Family, Romance",102,USA,English,7.9,53931,1073000.0,11180,-1061820.0,91.0
3266,Via col vento,1939,3,"Drama, History, Romance",238,USA,English,8.1,283975,3977000.0,402352579,398375579.0,97.0
3348,Mr. Smith va a Washington,1939,4,"Comedy, Drama",129,USA,English,8.1,104547,1900000.0,144738,-1755262.0,73.0
3451,Il mago di Oz,1939,4,"Adventure, Family, Fantasy",102,USA,English,8.0,366293,2777000.0,26142032,23365032.0,100.0
