,title,year,month,genre,duration,country,language,budget,total_gross,net_income,critic_reviews,user_reviews,metascore,meta_hit
4334,Kate & Leopold,2001,3,"Comedy, Fantasy, Romance",118,USA,"English, French",48000000,76019048,28019048,115.0,341.0,44.0,0
19759,Diritto di cronaca,1981,3,"Drama, Romance, Thriller",116,USA,"English, Spanish",12000000,40716963,28716963,27.0,115.0,64.0,0
19774,Arturo,1981,2,"Comedy, Romance",97,USA,English,7000000,95461682,88461682,44.0,132.0,69.0,0
19790,Blow Out,1981,4,"Crime, Drama, Mystery",108,USA,English,18000000,12000000,-6000000,123.0,199.0,86.0,1
19804,Libertà poco vigilata,1981,5,"Comedy, Drama",94,USA,English,11000000,31261269,20261269,5.0,16.0,55.0,0
19837,Alla maniera di Cutter,1981,2,"Crime, Drama, Mystery",109,USA,English,3000000,1752634,-1247366,43.0,60.0,70.0,0
19847,Benedizione mortale,1981,8,"Horror, Thriller",100,USA,English,2500000,8279042,5779042,114.0,73.0,56.0,0
19880,Entity,1982,2,"Drama, Horror",125,USA,English,9000000,13277558,4277558,122.0,145.0,35.0,0
19883,1997: fuga da New York,1981,10,"Action, Adventure, Sci-Fi",99,USA,English,6000000,25244626,19244626,250.0,343.0,76.0,1
19892,Uno scomodo testimone,1981,9,"Crime, Drama, Mystery",103,USA,English,8500000,6400000,-2100000,31.0,38.0,61.0,0
19912,Red e Toby nemiciamici,1981,11,"Animation, Adventure, Drama",83,USA,English,12000000,63456988,51456988,82.0,121.0,65.0,0
19918,L'assassino ti siede accanto,1981,4,"Horror, Mystery, Thriller",87,USA,English,1250000,21722776,20472776,165.0,437.0,26.0,0
19947,Il signore della morte,1981,10,Horror,92,USA,English,2500000,25533818,23033818,197.0,561.0,40.0,0
19948,La mano,1981,4,"Drama, Horror, Thriller",104,USA,English,6500000,2447576,-4052424,54.0,58.0,59.0,0
19961,La pazza storia del mondo,1981,12,"Comedy, History, Musical",92,USA,"English, Latin, French",11000000,31672907,20672907,48.0,145.0,47.0,0
19971,L'ululato,1981,4,Horror,91,USA,"English, Spanish",1000000,17985893,16985893,137.0,230.0,68.0,0
19993,Bolidi nella notte,1981,5,Drama,90,USA,English,2000000,1791147,-208853,2.0,11.0,48.0,0
20042,Gelosissimamente... tuo,1981,12,"Comedy, Fantasy, Sci-Fi",93,USA,English,8000000,26154211,18154211,16.0,50.0,27.0,0
20044,Mammina cara,1981,9,"Biography, Drama",129,USA,English,5000000,19032261,14032261,72.0,185.0,55.0,0
20061,I falchi della notte,1981,4,"Action, Crime, Thriller",99,USA,"English, German, French, Swedish",5000000,19905359,14905359,60.0,139.0,56.0,0
20083,Spiccioli dal cielo,1981,1,"Drama, Musical, Romance",108,USA,English,22000000,9171289,-12828711,45.0,68.0,64.0,0
20102,Lezioni maliziose,1981,6,Comedy,87,USA,English,2800000,26279000,23479000,20.0,37.0,34.0,0
20114,I predatori dell'arca perduta,1981,6,"Action, Adventure",115,USA,"English, German, Hebrew, Spanish, Arabic, Nepali",18000000,390133212,372133212,258.0,948.0,85.0,1
20115,Reds,1981,4,"Biography, Drama, History",195,USA,"English, Russian, German, French, Finnish, Italian",32000000,40382659,8382659,60.0,139.0,76.0,1
20124,Il grande ruggito,1981,10,"Adventure, Comedy, Thriller",102,USA,English,17000000,110048,-16889952,72.0,54.0,65.0,0
20128,Il volto dei potenti,1981,12,"Drama, Mystery, Romance",116,USA,English,16000000,10851261,-5148739,10.0,19.0,36.0,0
20166,Stripes - Un plotone di svitati,1981,6,"Comedy, War",106,USA,"English, Russian, Polish",10000000,85297000,75297000,65.0,166.0,68.0,0
20181,Taps - Squilli di rivolta,1981,12,Drama,126,USA,English,14000000,35856053,21856053,27.0,62.0,49.0,0
20182,"Tarzan, l'uomo scimmia",1981,7,"Adventure, Drama",115,USA,English,6500000,36565280,30065280,28.0,70.0,24.0,0
20188,Strade violente,1981,9,"Action, Crime, Drama",123,USA,English,5500000,11492915,5992915,127.0,139.0,78.0,1
20230,Wolfen - La belva immortale,1981,7,"Horror, Thriller",115,USA,English,17000000,10626725,-6373275,106.0,108.0,64.0,0
20244,48 ore,1982,9,"Action, Comedy, Crime",96,USA,English,12000000,78868508,66868508,95.0,141.0,71.0,0
20249,L'aereo più pazzo del mondo... sempre più pazzo,1982,12,"Comedy, Sci-Fi",85,USA,English,15000000,27150534,12150534,25.0,143.0,48.0,0
20262,Annie,1982,9,"Comedy, Drama, Family",126,USA,English,50000000,57059003,7059003,42.0,147.0,39.0,0
20292,Amici come prima,1982,12,"Comedy, Drama, Romance",116,USA,"English, Spanish",15000000,36821203,21821203,11.0,25.0,70.0,0
20293,Il più bel casino del Texas,1982,7,"Comedy, Musical",114,USA,English,35000000,69701637,34701637,16.0,56.0,40.0,0
20297,Blade Runner,1982,10,"Action, Sci-Fi, Thriller",117,USA,"English, German, Cantonese, Japanese, Hungarian, Arabic",28000000,41492614,13492614,257.0,1558.0,84.0,1
20307,Frontiera,1982,2,"Crime, Drama",108,USA,"English, Spanish",22000000,6118683,-15881317,33.0,48.0,66.0,0
20320,Cannery Row,1982,2,"Comedy, Drama, Romance",120,USA,English,11300000,5301539,-5998461,11.0,56.0,52.0,0
20321,Il bacio della pantera,1982,9,"Fantasy, Horror, Thriller",118,USA,English,18000000,7000000,-11000000,142.0,130.0,62.0,0
20339,Creepshow,1982,11,"Comedy, Fantasy, Horror",120,USA,English,8000000,21028755,13028755,178.0,235.0,59.0,0
20346,Il mistero del cadavere scomparso,1982,11,"Comedy, Crime, Mystery",88,USA,English,9000000,18196170,9196170,45.0,118.0,67.0,0
20357,A cena con gli amici,1982,3,"Comedy, Drama",110,USA,English,5000000,14099953,9099953,50.0,94.0,82.0,1
20367,E.T. - L'extra-terrestre,1982,12,"Family, Sci-Fi",115,USA,English,10500000,793482178,782982178,255.0,612.0,91.0,1
20377,La casa,1981,8,Horror,85,USA,English,350000,2893091,2543091,359.0,845.0,71.0,0
20385,Fuori di testa,1982,8,"Comedy, Drama",90,USA,English,4500000,27092880,22592880,138.0,279.0,61.0,0
20394,Firefox - Volpe di fuoco,1982,9,"Action, Adventure, Thriller",136,USA,"English, Russian",18000000,46708276,28708276,51.0,110.0,44.0,0
20395,Rambo,1982,12,"Action, Adventure",93,USA,English,15000000,125212904,110212904,199.0,473.0,61.0,0
20404,Week-end di terrore,1982,8,"Horror, Thriller",95,USA,English,2300000,36690067,34390067,266.0,420.0,30.0,0
20417,Grease 2,1982,6,"Comedy, Drama, Musical",115,USA,English,13200000,15171476,1971476,34.0,312.0,52.0,0
20438,Honkytonk Man,1982,12,"Comedy, Drama, Music",122,USA,English,2000000,4484991,2484991,19.0,35.0,50.0,0
20492,Cercando di uscire,1982,6,Comedy,105,USA,English,17000000,946461,-16053539,22.0,18.0,44.0,0
